conversation_id_str,created_at,favorite_count,is_garbage,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.91e+18,Fri Mar 28 10:44:59 +0000 2025,0,,Jahat bgt yg masih normalisasikan AI AI itu basicnya aja ngambil tanpa konsen artist/mencuri style artist loh jahat bgt ghibli aja dibuild berpuluh tahun biar bisa jadi iconic kya gitu,1.91e+18,,shinyselene,in,,0,0,0,https://x.com/undefined/status/1905571815118045189,1.82e+18,
1.91e+18,Fri Mar 28 10:00:40 +0000 2025,9,,Padahal daripada style ghibli AI mendingan commis gambar sama @cacaolite alias meowmy nya anonu @tripletsanonu,1.91e+18,,,in,,0,3,1,https://x.com/undefined/status/1905560665399722469,1.68e+18,
1.91e+18,Fri Mar 28 09:59:22 +0000 2025,4,,Sekarang banyak yg fomo buat gambar pake style Ghibli dari AI. Wkwkwk brengsek,1.91e+18,,,in,,0,1,2,https://x.com/undefined/status/1905560335202840683,1.85e+18,
1.91e+18,Fri Mar 28 09:50:24 +0000 2025,0,,Mendingan gw hire artist yg bisa ghibli style daripada pake aplikasi Gib(ran) Tapi kalo sekarang takutnya ada yg nawarin tapi pake AI juga.,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905558080223674628,1.27e+18,
1.91e+18,Fri Mar 28 09:23:11 +0000 2025,0,,@sheiladaisha Penyuka ghibli beneran gaakan sudi make gambar ghibli style yang di generate AI sih. Klo sampe make berarti cuma fomo2an doang suka ghiblinya. Soalnya klo suka beneran tuh ya bakal respect sama studio dan creatornya.,1.91e+18,,sheiladaisha,in,,0,0,0,https://x.com/undefined/status/1905551231898321094,1.76e+18,
1.91e+18,Fri Mar 28 09:19:42 +0000 2025,0,,AKUN2 YG POST GHIBLI STYLE AI GENERATED SHIT GW MUTE2 AJA LAH AJG,1.91e+18,,,in,,0,1,0,https://x.com/undefined/status/1905550352235012127,570115146.0,
1.91e+18,Fri Mar 28 09:17:52 +0000 2025,2,,tadi mana anjir yang recreate frame film Oppenheimer pake Ai style Ghibli Ajggggg Goblok bangetttt,1.91e+18,,,in,,1,1,0,https://x.com/undefined/status/1905549890866028972,1.07e+18,
1.91e+18,Fri Mar 28 08:46:58 +0000 2025,1,,Sehat-sehat hayao sensei.. emg ai user apalagi yg art gt jahat bgt ga ngotak. Uda berapa kali ak hari ini buka ig ada influencer bahkan temenku sndiri dia anak pdd bjirr pake ai yg ghibli art style itu. Stress. Ga waras smua,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905542115523977310,9.8e+17,
1.91e+18,Fri Mar 28 08:40:51 +0000 2025,93,,@CafeDanielDjb Memang banyak kok keuntungannya tapi untuk industri kreatif is a big no. For context ini sebenernya rantingan gue sendiri terhadap ghibli style menggunakan AI. Saya penggemar ghibli marah sekali dengan hal ini karena kalau kamu MAU tau they stole the database from real artist.,1.91e+18,,KedaiGadgetDjb,in,,1,1,5,https://x.com/undefined/status/1905540577300726057,1.31e+18,
1.91e+18,Fri Mar 28 08:14:57 +0000 2025,4,,@ainunnajib setiap ilustrator pasti punya ciri khas masing2 pak kalo mau nggambar ghibli style ga mungkin jg bisa 100% sama itu lah letak artnya. Ngga etis dimana upaya yg ilustrator bikin seperti dinihilkn begitu gampangnya dgn prompt Ai. Terus usaha kami ga ada artinya begitu?,1.91e+18,,ainunnajib,in,,0,1,0,https://x.com/undefined/status/1905534060761592124,103000716.0,
